주유소명,주소
㈜석산에너지,서울특별시 강북구 삼양로 316
SK에너지㈜ 매일주유소,서울특별시 강북구 삼양로 217
현대오일뱅크㈜직영 새한셀프주유소,서울특별시 강북구 도봉로 75
㈜지에스이엔알 미아주유소,서울특별시 강북구 도봉로 124
씨앤에스에너지㈜ 미아셀프주유소,서울특별시 강북구 도봉로 200
㈜서울에너지 시민주유소,서울특별시 강북구 인수봉로 185
㈜미래아스팔트 덕릉로주유소,서울특별시 강북구 덕릉로 158
현대오일뱅크㈜ 번동셀프주유소,서울특별시 강북구 한천로 963
세원주유소,서울특별시 강북구 한천로 918
에덴주유소,서울특별시 강북구 월계로 195
(주)명연에너지 수색훼미리주유소,서울특별시 은평구 수색로236 (수색동)
뉴타운 셀프주유소,서울특별시 은평구 통일로1031 (진관동)
다회주유소,서울특별시 은평구 증산로441 (신사동)
대성산업(주)대성주유소,서울특별시 은평구 통일로642 (녹번동)
불광주유소,서울특별시 은평구 연서로314 (불광동)
서울석유(주) 박석고개주유소,서울특별시 은평구 통일로945 (갈현동)
서울석유(주) 은평뉴타운주유소,서울특별시 은평구 통일로924 (불광동)
성원이앤에스(주)은평지점,서울특별시 은평구 통일로968 (진관동)
제이제이에너지,서울특별시 은평구 응암로163 (응암동)
지에스칼텍스(주) 녹번주유소,서울특별시 은평구 통일로600 (녹번동)
지에스칼텍스(주) 서부주유소,서울특별시 은평구 응암로210 (응암동)
지에스칼텍스(주) 수색뉴타운 주유소,서울특별시 은평구 수색로350 (수색동)
지에스칼텍스(주)신사제일주유소,서울특별시 은평구 증산로423 (신사동)
코끼리주유소,서울특별시 은평구 서오릉로41 (녹번동)
타이거주유소,서울특별시 은평구 수색로188 (증산동)
현대오일뱅크㈜직영 은평드림주유소,서울특별시 은평구 통일로1151 (진관동)
삼융주유소,서울특별시 은평구 수색로 299 (수색동)
행촌제2주유소,서울특별시 서대문구 성산로 490(대신동)
㈜중앙에너비스 동교지점,서울특별시 연희로 12(창천동)
㈜안국에너지 삼보주유소,서울특별시 연희로 78(연희동)
구도일주유소 두꺼비,서울특별시 성산로 312(연희동)
sk삼미상사(주)서부주유소,서울특별시 성산로 255(연희동)
현대오일뱅크(주) 직영 연세주유소,서울특별시 연희로 184(연희동)
연희주유소,서울특별시 연희로 129(연희동)
광호주유소,서울특별시 연희로 266(홍은동)
지에스칼텍스(주)홍제동주유소,서울특별시 통일로 372(홍제동)
㈜우남에너지문화사랑주유소,서울특별시 세검정로 87(홍제동)
남정주유소,서울특별시 모래내로 243(남가좌동) 
㈜가재울뉴타운주유소,서울특별시 모래내로 205(남가좌동)
㈜창원이엔지 홍제지점,서울특별시 통일로 455(홍제동)
현대오일뱅크(주) 직영 독립문주유소,서울특별시 통일로 384(홍제동)
㈜미래아스팔트 신우주유소,서울특별시 가좌로 106(홍은동)
마포시엠주유소,서울특별시 마포구 월드컵북로 62 (성산동)
청원주유소,서울특별시 마포구 월드컵북로 113 (성산동)
주식회사 에스에스 오토,서울특별시 마포구 서강로 76 (창전동)
(주)블루원에너지 직영 성산대교주유소,서울특별시 마포구 성산로 144 (성산동)
대흥주유소,서울특별시 마포구 대흥로 61 (대흥동)
성산주유소,서울특별시 마포구 월드컵북로 170 (성산동)
그린에너지컴퍼니 용강주유소,서울특별시 마포구 토정로 258 (용강동)
마포주유소,서울특별시 마포구 마포대로 186 (공덕동)
(주)안국에너지 망원동주유소,서울특별시 마포구 월드컵로 119 (망원동)
에스케이에너지 주식회사 안국주유소,서울특별시 마포구 양화로 33 (합정동)
에쓰-오일(주) 염리동 주유소,서울특별시 마포구 백범로 126 (염리동)
에스케이에너지(주) 양지주유소,서울특별시 마포구 마포대로 69 (도화동)
지에스칼텍스㈜ 서호주유소,서울특별시 양천구 남부순환로 317(신월동)
에이치지 가로공원주유소,서울특별시 양천구 가로공원로 165(신월동)
현대주유소,서울특별시 양천구 남부순환로 372(신월동)
동일석유㈜ 개나리주유소,서울특별시 양천구 남부순환로 442(신월동)
신양주유소,서울특별시 양천구 지양로 67(신월동)
현대오일뱅크㈜직영 남부순환셀프주유소,서울특별시 양천구 남부순환로 553(신월동)
㈜진우에너지 신월점,서울특별시 양천구 신월로 193(신월동)
삼미상사㈜신월IC셀프주유소,서울특별시 양천구 중앙로 331(신월동)
(주)서부티엔디,서울특별시 양천구 신정로 167(신정동)
(주)지애스이앤알서울주유소,서울특별시 양천구 신정로 236(신정동)
SK에너지㈜경인주유소,서울특별시 양천구 국회대로 170(신정동)
양정주유소,서울특별시 양천구 국회대로 158(신정동)
㈜타이거오일 신정주유소,서울특별시 양천구 중앙로 226(신정동)
SK에너지(주)신평주유소,서울특별시 양천구 목동남로 62(신정동)
현대오일뱅크㈜직영 양천셀프주유소,서울특별시 양천구 목동로 17(신정동)
㈜부흥에너지 평화주유소,서울특별시 양천구 안양천로 657(신정동)
신정동주유소,서울특별시 양천구 안양천로 663(신정동)
현대오일뱅크㈜직영 신목동셀프주유소,서울특별시 양천구 목동동로10길 13(신정동)
㈜삼표에너지 목동주유소,서울특별시 양천구 목동서로 129(목동)
양천구주유소,서울특별시 양천구 국회대로 275(목동)
목동주유소,서울특별시 양천구 목동중앙로 125(목동)
현대오일뱅크㈜직영목동셀프주유소(구) ,서울특별시 양천구 공항대로 648(목동)
현대오일뱅크㈜직영 양천현대셀프주유소,서울특별시 양천구 안양천로 1179(목동)
지에스칼텍스(주)건지주유소,서울특별시 양천구 안양천로 1171(목동)
형산석유㈜ 원주유소,서울특별시 양천구 남부순환로 408(신월동)
개화주유소,서울특별시 강서구 양천로 57(방화1동 488-1)
대성석유㈜관문주유소,서울특별시 강서구 공항대로 314(우장산동 648-3)
방화주유소,서울특별시 강서구 방화동로 58-2(방화1동 609-59)
하이웨이주유소,서울특별시 강서구 공항대로 432(화곡6동 1125)
현대오일뱅크㈜직영강서제일셀프주유소,서울특별시 강서구 화곡로 273(화곡6동 983-1)
현대오일뱅크(주)직영양화교주유소,서울특별시 강서구 공항대로 653(염창동 283-4)
현대오일뱅크(주)직영가양주유소,서울특별시 강서구 양천로 391(가양1동 58-2)
㈜유턴상사유턴주유소,서울특별시 강서구 남부순환로 57(공항동 61-222)
경인고속주유소,서울특별시 강서구 국회대로 225(화곡4동 843-4)
박물관주유소,서울특별시 강서구 양천로 53길 97(가양1동 26-1)
등촌주유소,서울특별시 강서구 등촌로 189(등촌2동 511-5)
신화곡주유소,서울특별시 강서구 국회대로 71(화곡1동 931-11)
뉴신정주유소,서울특별시 강서구 곰달래로 207( 화곡2동 862-16)
세원제1주유소,서울특별시 강서구 양천로 311(가양1동 272-31)
염창동주유소,서울특별시 강서구 양천로 720(염창동 263-8)
목화주유소,서울특별시 강서구 국회대로 251(화곡4동 785-2)
대성주유소,서울특별시 강서구 강서로 472(등촌3동 684)
우장산주유소,서울특별시 강서구 강서로 292(우장산동 702-5)
청룡주유소,서울특별시 강서구 양천로 576(등촌1동 631-7)
강서열린점,서울특별시 강서구 등촌로 213(등촌2동 510-13)
스카이주유소,서울특별시 강서구 개화동로 457(방화2동 523-22)
화곡현대주유소,서울특별시 강서구 강서로 151(화곡1동 402-1)
화곡역주유소,서울특별시 강서구 강서로 154(화곡본동 1076-14)
SK에너지㈜가양주유소,서울특별시 강서구 강서로 498(가양1동 151-1)
㈜한진김포공항주유소,서울특별시 강서구 하늘길 259(발산1동 423-2)
행촌에너지 공항주유소,서울특별시 강서구 개화동로 420 (방화2동 565-4)
참솔에너지,서울특별시 강서구 벌말로 281 (공항동 699-19)
㈜한진 김포공항 제2주유소,서울특별시 강서구 하늘길 112 (공항동 1373)
경동석유㈜강서오곡셀프주유소,서울특별시 강서구 벌말로 254(공항동 594-1)
마곡대성주유소,서울특별시 강서로 457(마곡동 784-1)
방화대성주유소,서울특별시 강서구 양천로 176(마곡동 752)
KH에너지㈜직영KH외발산주유소,서울특별시 강서구 외발산동 379 외 5번지
대성산업(주) 디큐브주유소,서울특별시 구로구 경인로 650(신도림동)
SK구로주유소,서울특별시 구로구 구일로 94(구로동)
구로주유소,서울특별시 구로구 구로동로 137(구로동)
현대오일뱅크(주)직영 구로셀프주유소,서울특별시 구로구 시흥대로 531(구로동)
JHC에너지,서울특별시 구로구 시흥대로 539(구로동)
㈜한미석유 구로그린주유소,서울특별시 구로구 구로중앙로 76(구로동)
현대오일뱅크(주)직영 신구로주유소,서울특별시 구로구 가마산로 293(구로동)
동아주유소,서울특별시 구로구 도림로 91(구로동)
구인주유소,서울특별시 구로구 경인로 558(구로동)
신성주유소,서울특별시 구로구 구로동로 187(구로동)
