주유소명,주소
중앙주유소,서울특별시 서초구 바우뫼로 219 (양재동)
말죽거리주유소,서울특별시 서초구 남부순환로 2650 (양재동)
선우상사 Q엔느,서울특별시 서초구 방배로 66 (방배동)
(주)에이치앤디이 서울만남의광장주유소,서울특별시 서초구 양재대로12길 73-71 (원지동)
현대오일뱅크(주)직영서초제일주유소,서울특별시 서초구 사임당로 116 (서초동)
서울석유(주)양재주유소,서울특별시 서초구 바우뫼로 178 (양재동)
태봉주유소,서울특별시 서초구 태봉로 117 (우면동)
대신석유(주) 대우주유소,서울특별시 서초구 양재대로 173 (양재동)
지에스칼텍스(주)남서울주유소,서울특별시 서초구 나루터로 83 (잠원동)
대신석유(주) 서원주유소,서울특별시 서초구 반포대로 142 (서초동)
신반포주유소,서울특별시 서초구 사평대로 94 (반포동)
에너지플러스 허브 삼방,서울특별시 서초구 사평대로 364 (서초동)
대성산업(주)강남주유소,서울특별시 서초구 반포대로 284 (반포동)
대성산업(주)터미널주유소,서울특별시 서초구 신반포로 222 (반포동)
상계동주유소,서울특별시 노원구 노원로26길 191(상계동)
한신주유소,서울특별시 노원구 동일로 1089(공릉동)
월계주유소,서울특별시 노원구 월계로 252(월계동)
현대오일뱅크㈜ 직영 하계주유소,서울특별시 노원구 노원로17길 29(하계동)
신성주유소,서울특별시 노원구 월계로 328(월계동)
노원주유소,서울특별시 노원구 동일로 1008(공릉동)
남선석유㈜ 구도일주유소 불암,서울특별시 노원구 한글비석로 268(중계동)
SK에너지㈜직영상계주유소,서울특별시 노원구 노해로 527(상계동)
성북역주유소,서울특별시 노원구 광운로 95(월계동)
하계삼호주유소,서울특별시 노원구 공릉로 294(하계동)
㈜소모에너지 수락산셀프주유소,서울특별시 노원구 동일로 1772(상계동)
삼육주유소,서울특별시 노원구 화랑로 822(공릉동)
㈜이엠석유 배꽃나라주유소,서울특별시 노원구 화랑로 466(공릉동)
화랑대주유소,서울특별시 노원구 화랑로 483(공릉동)
유한책임회사동하석유 태릉솔밭지점,서울특별시 노원구 노원로 49(공릉동)
현대오일뱅크㈜직영 삼성동주유소,서울특별시 강남구 테헤란로 619(삼성동)
대성석유㈜동호주유소,서울특별시 강남구 봉은사로113길 51(삼성동)
(주)새서울주유소,서울특별시 강남구 압구정로 154 (신사동)
SK에너지㈜ 진달래주유소,서울특별시 강남구 도곡로 208(도곡동)
현대오일뱅크㈜직영 한양주유소,서울특별시 강남구 압구정로 302(신사동)
에스제이에너지산업(주)개포주유소,서울특별시 강남구 양재대로 339(개포동)
㈜에스에스모터스 논현주유소 지점,서울특별시 강남구 논현로 747 (논현동)
일원주유소,서울특별시 강남구 양재대로55길 3(일원동)
대동석유 압구정주유소,서울특별시 강남구 언주로 842(신사동)
현대오일뱅크 JJ네트웍스 JJ주유소,서울특별시 강남구 언주로 716(논현동)
에너지플러스 허브 GS타워,서울특별시 강남구 논현로 516 (역삼동)
에쓰-오일(주)개나리주유소,서울특별시 강남구 언주로 423(역삼동)
서광주유소,서울특별시 강남구  역삼로 142(역삼동)
대청주유소,서울특별시 강남구 개포로 654(일원동) 
㈜선진주유소,서울특별시 강남구 도곡로 162 (도곡동)
현대오일뱅크㈜직영 도곡셀프주유소,서울특별시 강남구 남부순환로 2718 (도곡동)
㈜보성 세곡주유소,서울특별시 강남구 헌릉로 731 (세곡동)
SK네트웍스㈜ 매봉주유소,서울특별시 강남구  언주로 307(역삼동)
갤러리아주유소,서울특별시 강남구 압구정로 426(청담동)
지에스칼텍스㈜ 주성주유소,서울특별시 강남구 영동대로 716 (청담동)
주식회사 만정에너지,서울특별시 강남구 봉은사로 433(삼성동)
유한책임회사 동하석유 (힐탑주유소),서울특별시 강남구 논현로 640 (논현동)
대교주유소,서울특별시 강남구 강남대로 640 (신사동)
현대오일뱅크㈜직영 신사현대주유소,서울특별시 강남구 도산대로 163(신사동)
지에스칼텍스㈜ 은마주유소,서울특별시 강남구 영동대로 235(대치동)
현대오일뱅크㈜ 산성셀프주유소,서울특별시 강남구 헌릉로 730(세곡동)
현대오일뱅크㈜ 직영 유진주유소,서울특별시 강남구 논현로 152 (도곡동)
오일프러스 셀프주유소,서울특별시 강남구 남부순환로 2651 (도곡동)
㈜잠실에너지 명품주유소,서울특별시 강남구 도곡로 249(역삼동)
자곡셀프주유소,서울특별시 강남구 밤고개로 120 (자곡동)
㈜중앙에너비스 수서지점,서울특별시 강남구 광평로 202 (수서동)
방죽주유소,서울특별시 강남구 밤고개로 215(자곡동)
㈜소모에너지엔테크놀러지 쎈트럴주유소 ,서울특별시 강남구 삼성로 335(대치동)
㈜비자인터내셔날학여울주유소,서울특별시 강남구 남부순환로 3170(대치동)
지에스칼텍스㈜ 삼성로주유소,서울특별시 강남구 삼성로 563 (삼성동)
한이에너지㈜ 쌍문주유소,서울특별시 도봉구 도봉로 547 (쌍문동)
정다운주유소,서울특별시 도봉구 도봉로 635 (쌍문동)
삼미상사㈜ 북부주유소,서울특별시 도봉구 도봉로 437 (쌍문동)
현대오일뱅크(주)직영 쌍문셀프주유소,서울특별시 도봉구 노해로 161 (쌍문동)
현대오일뱅크㈜직영 영신주유소,서울특별시 도봉구 방학로 151 (방학동)
㈜자연에너지 햇살주유소,서울특별시 도봉구 방학로 142 (방학동)
구도일주유소 도봉,서울특별시 도봉구 도봉로 706 (방학동)
GS칼텍스㈜ 방학동주유소,서울특별시 도봉구 방학로 186 (방학동)
구도일주유소 파크빌,서울특별시 도봉구 해등로3길 86 (창동)
대성산업㈜ 신창주유소,서울특별시 도봉구 덕릉로 267 (창동)
동일석유㈜ 창동주유소,서울특별시 도봉구 도봉로 434 (창동)
극동유화㈜ 대안주유소,서울특별시 도봉구 마들로 574 (창동)
한이에너지㈜ KLP제1주유소,서울특별시 도봉구 도봉로 596 (창동)
현대오일뱅크㈜직영 도봉현대셀프주유소,서울특별시 도봉구 도봉로 941 (도봉동)
GS칼텍스㈜ 도봉주유소,서울특별시 도봉구 도봉로 895 (도봉동)
(주)송만에너지 도봉제일주유소,서울특별시 도봉구 도봉로 783 (도봉동)
노원교주유소,서울특별시 도봉구 마들로 776 (도봉동)
오복주유소,서울특별시 도봉구 방학로 43 (방학동)
